Hospital_ID,Hospital_Name,Academic_Medical_Center,City,State,Patients,Perc_Readmitted_30d,Perc_PrimaryCare_14d,Perc_Emergency_30d
30043,Sierra Vista Regional Health Ctr,NO,Sierra Vista,AZ,229,10.1,23.6,19.7
30055,Kingman Regional Medical Center,NO,Kingman,AZ,573,12.7,23.3,19.1
30061,Sun Health Boswell Hospital,NO,Sun City,AZ,1943,13.3,28.9,15.2
30062,Summit Healthcare Reg Med Ctr,NO,Show Low,AZ,240,12.9,22.0,18.6
30064,University Medical Center-Tucson,YES,Tucson,AZ,881,15.3,26.1,17.2
30065,Banner Desert Medical Center,NO,Mesa,AZ,1039,11.7,21.0,15.6
30069,Havasu Regional Medical Center,NO,Lake Havasu City,AZ,838,9.0,16.6,12.8
30085,Northwest Medical Center,NO,Tucson,AZ,1402,9.4,17.9,13.4
30087,Scottsdale Healthcare-Shea,NO,Scottsdale,AZ,1620,9.1,21.8,14.7
30088,Banner Baywood Medical Center,NO,Mesa,AZ,832,12.9,24.3,17.1
30089,Banner Thunderbird Med Ctr,NO,Glendale,AZ,704,16.9,25.2,19.8
30092,John C. Lincoln Deer Valley,NO,Phoenix,AZ,368,16.1,31.2,24.2
30093,Banner Del E Webb Medical Center,NO,Sun City West,AZ,1152,9.7,28.7,13.5
30094,Arrowhead Hospital,NO,Glendale,AZ,466,10.7,21.4,14.1
30100,Tucson Heart Hospital,NO,Tucson,AZ,431,18.1,31.5,22.3
30101,Western Arizona Regional Med Ctr,NO,Bullhead City,AZ,513,13.8,20.4,17.0
30102,Arizona Heart Hospital,NO,Phoenix,AZ,709,14.3,28.7,21.8
30103,Mayo Clinic Hospital,NO,Phoenix,AZ,2297,11.6,15.1,15.8
30105,Banner Heart Hospital,NO,Mesa,AZ,771,14.0,30.7,19.4
30110,West Valley Hospital,NO,Goodyear,AZ,219,14.0,20.2,20.2
30114,Northwest Medical Center,NO,Oro Valley,AZ,481,10.7,13.8,13.7
30115,Banner Estrella Medical Center,NO,Phoenix,AZ,244,10.2,25.5,13.1
30117,Valley View Medical Center,NO,Fort Mohave,AZ,247,16.2,24.5,18.4
30119,Mercy Gilbert Medical Center,NO,Gilbert,AZ,352,16.4,33.2,21.6
30121,Mountain Vista Medical Center Lp,NO,Mesa,AZ,437,19.3,23.7,21.1
30122,Banner Gateway Medical Center,NO,Gilbert,AZ,263,8.1,15.4,13.1
30123,Scottsdale Healthcare-Thompson Peak,NO,Scottsdale,AZ,227,7.9,21.9,15.7
40004,Washington Regional Med Ctr,NO,Fayetteville,AR,1436,11.5,22.6,14.3
40007,St. Vincent Infirmary Med Ctr,NO,Little Rock,AR,1978,11.1,16.5,12.5
40010,Mercy Medical Center,NO,Rogers,AR,605,9.8,18.8,14.7
40014,White County Medical Center,NO,Searcy,AR,642,12.3,32.0,11.6
40016,UAMS Medical Center,YES,Little Rock,AR,696,16.6,18.9,20.2
40017,North Arkansas Regional Med Ctr,NO,Harrison,AR,221,7.2,35.9,9.9
40020,St. Bernards Medical Center,NO,Jonesboro,AR,1329,12.7,26.3,14.3
40022,Northwest Medical Center,NO,Springdale,AR,871,12.7,17.7,14.5
40026,St. Joseph's Mercy Health Center,NO,Hot Springs,AR,1180,12.8,25.3,13.5
40027,Baxter Regional Medical Center,NO,Mountain Home,AR,1128,12.0,22.1,12.9
40029,Conway Regional Medical Center,NO,Conway,AR,670,9.1,14.8,12.4
40036,Baptist Health Medical Center,NO,North Little Rock,AR,1160,11.6,16.8,15.2
40041,St. Mary's Regional Med Ctr,NO,Russellville,AR,299,12.2,17.4,12.8
40055,Sparks Regional Medical Center,NO,Fort Smith,AR,829,12.6,23.4,16.3
40062,St. Edward Mercy Medical Center,NO,Fort Smith,AR,962,9.3,17.8,11.5
40071,Jefferson Regional Med Ctr,NO,Pine Bluff,AR,841,12.4,22.8,13.8
40078,National Park Medical Center,NO,Hot Springs,AR,412,14.2,29.9,15.7
40084,Saline Memorial Hospital,NO,Benton,AR,272,11.8,19.3,15.1
40088,Medical Center of South Arkansas,NO,El Dorado,AR,519,12.9,32.6,15.3
40114,Baptist Health Medical Center,NO,Little Rock,AR,2520,10.8,20.7,11.7
40118,NEA Baptist Memorial Hospital,NO,Jonesboro,AR,750,13.2,18.0,15.1
40119,White River Medical Center,NO,Batesville,AR,661,11.5,26.6,14.3
40134,Arkansas Heart Hospital,NO,Little Rock,AR,1419,14.9,20.1,15.7
50006,St. Joseph Hospital,NO,Eureka,CA,725,11.1,22.9,17.4
50007,Mills-Peninsula Health Services,NO,Burlingame,CA,804,9.0,13.0,12.9
50009,Queen of the Valley Med Ctr,NO,Napa,CA,667,11.1,22.6,14.8
50013,St. Helena Hospital,NO,Saint Helena,CA,447,11.3,26.8,15.1
50016,Arroyo Grande Community Hospital,NO,Arroyo Grande,CA,255,8.7,14.1,14.1
50017,Mercy General Hospital,NO,Sacramento,CA,1316,12.2,24.8,15.7
50022,Riverside Community Hospital,NO,Riverside,CA,674,13.5,25.6,18.3
50025,UC San Diego Med Ctr,YES,San Diego,CA,884,11.7,22.1,16.6
50026,Sharp Grossmont Hospital,NO,La Mesa,CA,1093,11.4,21.6,15.1
50030,Oroville Hospital,NO,Oroville,CA,279,17.7,28.5,19.5
50036,Bakersfield Memorial Hospital,NO,Bakersfield,CA,570,15.5,26.2,19.5
50039,Enloe Medical Center,NO,Chico,CA,1336,11.4,20.1,15.1
50042,St. Elizabeth Community Hospital,NO,Red Bluff,CA,552,5.8,16.8,10.6
50043,Alta Bates Summit Med Ctr-Oakland,NO,Oakland,CA,930,11.8,20.4,14.3
50045,El Centro Regional Med Ctr,NO,El Centro,CA,255,7.1,21.3,16.2
50047,California Pacific Med Ctr,NO,San Francisco,CA,1409,10.2,18.5,11.7
50056,Antelope Valley Hospital,NO,Lancaster,CA,517,14.2,29.9,14.1
50057,Kaweah Delta Health Care Dist,NO,Visalia,CA,1616,12.3,28.2,15.3
50058,Glendale Mem Hosp & Health Ctr,NO,Glendale,CA,662,14.8,20.6,15.7
50060,Community Regional Medical Ctr,NO,Fresno,CA,785,13.3,23.9,19.3
50063,Hollywood Presbyterian Med Ctr,NO,Los Angeles,CA,441,15.0,25.2,12.3
50069,St. Joseph Hospital,NO,Orange,CA,1605,9.6,14.6,13.3
50077,Scripps Mercy Hospital,NO,San Diego,CA,1272,10.6,20.8,15.4
50079,Doctors Medical Center,NO,San Pablo,CA,266,14.5,23.6,19.1
50082,St. John's Regional Med Ctr,NO,Oxnard,CA,718,11.8,18.5,16.0
50084,St. Joseph's Medical Center,NO,Stockton,CA,1051,12.5,18.8,12.3
50093,St. Agnes Medical Center,NO,Fresno,CA,1962,10.0,18.5,14.1
50099,San Antonio Community Hospital,NO,Upland,CA,576,9.4,28.4,13.1
50100,Sharp Memorial Hospital,NO,San Diego,CA,937,13.4,23.7,17.4
50103,White Memorial Medical Center,NO,Los Angeles,CA,531,14.9,28.1,15.3
50104,St. Francis Medical Center,NO,Lynwood,CA,228,18.1,25.2,17.7
50107,Marian Medical Center,NO,Santa Maria,CA,618,10.7,21.4,17.7
50108,Sutter Medical Center,NO,Sacramento,CA,1883,9.1,16.2,12.6
50112,Santa Monica UCLA Medical Center,NO,Santa Monica,CA,662,12.4,20.5,13.9
50115,Palomar Medical Center,NO,Escondido,CA,794,11.4,16.2,14.7
50116,Northridge Hosp Med Ctr,NO,Northridge,CA,656,12.8,30.7,14.3
50121,Hanford Community Medical Center,NO,Hanford,CA,362,8.7,26.2,17.6
50122,Dameron Hospital,NO,Stockton,CA,392,8.0,8.1,9.1
50124,Verdugo Hills Hospital,NO,Glendale,CA,246,10.3,14.7,11.1
50125,Regional Med Ctr of San Jose,NO,San Jose,CA,477,14.0,33.0,17.6
50126,Valley Presbyterian Hospital,NO,Van Nuys,CA,707,13.0,21.7,14.2
50128,Tri-City Medical Center,NO,Oceanside,CA,906,10.2,24.3,15.6
50129,St. Bernardine Medical Center,NO,San Bernardino,CA,670,13.6,22.2,16.8
50132,San Gabriel Valley Med Ctr,NO,San Gabriel,CA,202,11.9,0.0,12.8
50133,Rideout Memorial Hospital,NO,Marysville,CA,835,12.5,33.7,15.8
50145,Comm Hosp Monterey Peninsula,NO,Monterey,CA,1214,9.7,23.3,13.2
50146,City of Hope National Med Ctr,NO,Duarte,CA,592,13.0,7.9,9.8
50150,Sierra Nevada Memorial Hospital,NO,Grass Valley,CA,384,10.4,19.4,14.9
50152,St. Francis Memorial Hospital,NO,San Francisco,CA,226,11.0,19.9,7.5
50153,O'Connor Hospital,NO,San Jose,CA,750,12.1,21.1,12.6
50168,St. Jude Medical Center,NO,Fullerton,CA,1188,9.0,21.1,11.3
50169,Presbyterian Intercommunity Hosp,NO,Whittier,CA,655,12.8,27.1,14.4
50174,Santa Rosa Memorial Hospital,NO,Santa Rosa,CA,1101,8.7,26.2,13.8
50179,Emanuel Medical Center,NO,Turlock,CA,330,9.2,28.6,14.6
50180,John Muir Medical Center,NO,Walnut Creek,CA,1424,10.4,21.0,15.7
50191,St. Mary Medical Center,NO,Long Beach,CA,214,10.8,0.0,9.5
50194,Watsonville Community Hospital,NO,Watsonville,CA,275,11.0,17.5,14.6
50195,Washington Hospital,NO,Fremont,CA,1220,10.8,18.3,12.4
50197,Sequoia Hospital,NO,Redwood City,CA,810,10.4,21.7,13.4
50204,Lancaster Community Hospital,NO,Lancaster,CA,263,9.6,27.5,11.5
50222,Sharp Chula Vista Medical Center,NO,Chula Vista,CA,747,11.5,23.2,16.0
50224,Hoag Memorial Hosp Presbyterian,NO,Newport Beach,CA,2286,9.8,17.6,13.5
50225,Feather River Hospital,NO,Paradise,CA,399,9.2,23.6,16.7
50226,Anaheim Memorial Medical Center,NO,Anaheim,CA,434,12.8,24.0,16.7
50231,Pomona Valley Hosp Med Ctr,NO,Pomona,CA,420,14.4,32.4,16.1
50232,French Hospital Medical Center,NO,San Luis Obispo,CA,579,9.5,21.3,15.5
50235,Providence St. Joseph Center,NO,Burbank,CA,1054,11.4,26.2,11.8
50238,Methodist Hosp of Southern CA,NO,Arcadia,CA,905,11.4,25.8,9.5
50239,Glendale Adventist Med Ctr,NO,Glendale,CA,1074,12.1,23.2,13.3
50242,Dominican Hospital,NO,Santa Cruz,CA,708,10.4,20.1,13.2
50243,Desert Regional Medical Center,NO,Palm Springs,CA,669,14.3,22.0,17.9
50254,Marshall Medical Center,NO,Placerville,CA,389,8.4,18.6,14.0
50262,UCLA Medical Center,YES,Los Angeles,CA,1239,15.0,23.0,17.9
50264,San Leandro Hospital,NO,San Leandro,CA,220,15.5,18.2,18.1
50272,Redlands Community Hospital,NO,Redlands,CA,290,8.4,20.2,13.9
50278,Providence Holy Cross Med Ctr,NO,Mission Hills,CA,539,13.3,33.7,17.2
50280,Mercy Medical Center Redding,NO,Redding,CA,1471,9.8,21.2,15.7
50283,ValleyCare Medical Center,NO,Pleasanton,CA,435,9.1,22.0,13.0
50289,Seton Medical Center,NO,Daly City,CA,662,13.8,25.0,15.6
50290,St. John's Health Center,NO,Santa Monica,CA,1867,8.0,14.5,10.7
50291,Sutter Medical Center,NO,Santa Rosa,CA,406,8.3,27.3,17.0
50295,Mercy Hospital,NO,Bakersfield,CA,405,15.7,20.4,18.1
50300,St. Mary Medical Center,NO,Apple Valley,CA,468,17.1,23.2,22.4
50301,Ukiah Valley Medical Center,NO,Ukiah,CA,257,10.1,13.8,15.8
50305,Alta Bates Summit Med Ctr-Berkeley,NO,Berkeley,CA,573,10.4,21.0,11.1
50308,El Camino Hospital,NO,Mountain View,CA,1098,11.0,19.8,14.0
50309,Sutter Roseville Medical Center,NO,Roseville,CA,934,9.9,24.1,17.3
50324,Scripps Memorial Hosp-La Jolla,NO,La Jolla,CA,1204,10.2,15.9,15.6
50327,Loma Linda University Med Ctr,YES,Loma Linda,CA,1181,11.4,16.5,15.2
50334,Salinas Valley Mem Hlthcare Sys,NO,Salinas,CA,997,11.0,20.9,17.3
50335,Sonora Regional Medical Center,NO,Sonora,CA,442,7.7,16.8,15.7
50336,Lodi Memorial Hospital,NO,Lodi,CA,397,10.1,27.3,12.5
50348,UC Irvine Med Ctr,NO,Orange,CA,594,16.5,19.9,18.4
50350,Beverly Hospital,NO,Montebello,CA,250,14.4,25.9,18.0
50351,Torrance Memorial Medical Center,NO,Torrance,CA,1079,11.3,18.7,12.6
50353,Little Company of Mary Hosp,NO,Torrance,CA,925,10.8,17.2,12.6
50360,Marin General Hospital,NO,Greenbrae,CA,877,9.9,15.6,15.5
50380,Good Samaritan Hospital,NO,San Jose,CA,1047,11.8,18.7,16.6
50382,Citrus Valley Med Ctr-IC Campus,NO,Covina,CA,549,10.9,29.4,14.0
50390,Hemet Valley Medical Center,NO,Hemet,CA,321,11.7,35.4,15.0
50393,Downey Regional Medical Center,NO,Downey,CA,348,11.0,24.2,13.0
50394,Community Memorial Hospital,NO,Ventura,CA,874,9.5,18.4,13.9
50396,Santa Barbara Cottage Hospital,NO,Santa Barbara,CA,1471,8.5,18.0,13.0
50424,Scripps Green Hospital,NO,La Jolla,CA,1415,11.2,13.5,7.5
50426,West Anaheim Medical Center,NO,Anaheim,CA,202,14.4,0.0,14.4
50438,Huntington Memorial Hospital,NO,Pasadena,CA,1619,11.9,17.8,12.2
50441,Stanford Hospital and Clinics,YES,Stanford,CA,2057,10.6,21.7,14.2
50444,Mercy Medical Center Merced,NO,Merced,CA,454,8.6,25.0,12.5
50454,UCSF Medical Center,YES,San Francisco,CA,1592,15.3,25.6,19.2
50455,San Joaquin Community Hospital,NO,Bakersfield,CA,451,16.7,28.2,19.2
50457,St. Mary's Medical Center,NO,San Francisco,CA,558,11.4,19.5,11.1
50464,Doctors Medical Center,NO,Modesto,CA,819,16.2,34.2,21.0
50471,Good Samaritan Hospital,NO,Los Angeles,CA,1100,11.4,22.5,10.8
50481,West Hills Hosp & Med Ctr,NO,West Hills,CA,528,13.2,29.7,14.3
50485,Long Beach Memorial Med Ctr,NO,Long Beach,CA,1389,11.8,20.9,11.0
50488,Eden Medical Center,NO,Castro Valley,CA,345,11.0,14.4,15.5
50492,Clovis Community Medical Ctr,NO,Clovis,CA,354,9.2,21.7,13.9
50496,John Muir Medical Center,NO,Concord,CA,724,13.6,19.6,21.2
50498,Sutter Auburn Faith Hospital,NO,Auburn,CA,328,9.6,17.8,19.7
50502,St. Vincent Medical Center,NO,Los Angeles,CA,765,11.7,25.6,14.0
50503,Scripps Memorial Hosp-Encinitas,NO,Encinitas,CA,497,10.3,26.6,15.0
50506,Sierra Vista Regional Med Ctr,NO,San Luis Obispo,CA,447,10.8,18.6,14.4
50516,Mercy San Juan Medical Center,NO,Carmichael,CA,821,11.0,22.8,16.7
50523,Sutter Delta Medical Center,NO,Antioch,CA,209,16.7,24.4,22.7
50534,John F. Kennedy Memorial Hosp,NO,Indio,CA,391,10.9,15.2,19.6
50549,Los Robles Hosp & Med Ctr,NO,Thousand Oaks,CA,1171,11.2,16.9,13.6
50551,Los Alamitos Medical Center,NO,Los Alamitos,CA,378,9.7,21.6,7.9
50557,Memorial Medical Center,NO,Modesto,CA,945,15.8,27.7,21.6
50567,Mission Hospital,NO,Mission Viejo,CA,1120,10.4,20.7,12.8
50570,Fountain Valley Regional Hosp,NO,Fountain Valley,CA,691,14.1,31.6,14.4
50573,Eisenhower Medical Ctr,NO,Rancho Mirage,CA,2557,10.7,13.9,14.1
50581,Lakewood Regional Medical Center,NO,Lakewood,CA,264,14.6,30.9,13.6
50590,Methodist Hospital of Sacramento,NO,Sacramento,CA,306,8.4,15.5,13.8
50599,UC Davis Med Ctr,YES,Sacramento,CA,1160,14.5,22.5,18.6
50603,Saddleback Memorial Med Ctr,NO,Laguna Hills,CA,847,12.7,29.7,17.5
50616,St. John's Pleasant Valley Hosp,NO,Camarillo,CA,265,11.6,20.1,13.8
50624,Henry Mayo Newhall Memorial Hosp,NO,Valencia,CA,307,17.6,20.7,19.9
50625,Cedars-Sinai Medical Center,YES,Los Angeles,CA,4156,12.0,17.9,13.1
50633,Twin Cities Community Hospital,NO,Templeton,CA,384,10.7,19.2,17.9
50636,Pomerado Hospital,NO,Poway,CA,322,9.9,19.9,14.1
50678,Orange Coast Memorial Med Ctr,NO,Fountain Valley,CA,224,16.5,36.3,17.4
50689,San Ramon Regional Med Ctr,NO,San Ramon,CA,271,12.8,22.2,16.8
50696,USC University Hospital,NO,Los Angeles,CA,682,17.3,17.6,13.1
50701,Rancho Springs Medical Center,NO,Murrieta,CA,500,11.1,26.6,16.7
50709,Desert Valley Hospital,NO,Victorville,CA,225,13.5,15.5,14.9
50724,Bakersfield Heart Hospital,NO,Bakersfield,CA,360,15.1,26.9,17.7
50737,Garfield Medical Center,NO,Monterey Park,CA,430,11.9,41.4,9.7
50739,Centinela Hospital Med Center,NO,Inglewood,CA,609,12.2,22.2,12.8
50740,Centinela Freeman Med Center,NO,Marina Del Rey,CA,278,9.3,19.0,10.8
50742,Olympia Medical Center,NO,Los Angeles,CA,246,15.3,20.9,13.1
50752,Brotman Medical Center,NO,Culver City,CA,208,20.1,0.0,15.9
50757,Alvarado Hospital,NO,San Diego,CA,714,13.6,21.9,13.3
50761,Providence Tarzana Medical Center,NO,Tarzana,CA,988,13.2,29.6,13.6
50764,Shasta Regional Medical Center,NO,Redding,CA,597,11.1,19.2,13.0
60001,North Colorado Medical Center,NO,Greeley,CO,824,13.6,30.6,14.6
60003,Longmont United Hospital,NO,Longmont,CO,499,12.1,22.4,13.1
60006,Montrose Memorial Hospital,NO,Montrose,CO,222,6.8,26.6,13.1
60009,Exempla Lutheran Medical Center,NO,Wheat Ridge,CO,862,11.6,28.0,16.5
60010,Poudre Valley Hospital,NO,Fort Collins,CO,1369,7.4,18.7,11.4
60012,St. Mary-Corwin Medical Center,NO,Pueblo,CO,449,10.6,31.6,14.8
60013,Mercy Regional Medical Center,NO,Durango,CO,364,10.1,17.4,19.1
60014,Presbyterian-St. Luke's Med Ctr,NO,Denver,CO,556,11.5,29.4,13.4
60015,St. Anthony Central Hospital,NO,Denver,CO,627,11.9,34.3,16.0
60020,Parkview Medical Center,NO,Pueblo,CO,761,10.4,33.0,15.9
60022,Memorial Health System,NO,Colorado Springs,CO,1852,11.3,17.1,14.0
60023,St. Mary's Hosp & Med Ctr,NO,Grand Junction,CO,891,11.6,23.6,17.0
60024,University of Colorado Hospital,YES,Aurora,CO,846,14.2,26.0,18.8
60027,Boulder Community Hospital,NO,Boulder,CO,571,11.5,20.3,13.4
60030,McKee Medical Center,NO,Loveland,CO,362,11.3,14.2,13.5
60031,Penrose-St. Francis Health Svcs,NO,Colorado Springs,CO,1480,9.4,18.8,13.3
60032,Rose Medical Center,NO,Denver,CO,693,8.8,20.5,13.8
60034,Swedish Medical Center,NO,Englewood,CO,938,11.3,27.2,15.7
60064,Porter Adventist Hospital,NO,Denver,CO,913,9.7,22.9,14.4
60100,Medical Center of Aurora,NO,Aurora,CO,777,11.4,33.3,17.0
60112,Sky Ridge Medical Center,NO,Lone Tree,CO,516,11.6,28.4,16.5
60113,Littleton Adventist Hospital,NO,Littleton,CO,393,11.7,34.3,18.3
60114,Parker Adventist Hospital,NO,Parker,CO,242,12.5,31.8,17.5
60119,Medical Center of the Rockies,NO,Loveland,CO,804,12.7,17.1,17.4
70001,Hospital of St. Raphael,NO,New Haven,CT,1871,14.3,14.5,14.4
70002,St. Francis Hosp and Med Ctr,NO,Hartford,CT,2785,13.0,16.3,15.8
70003,Day Kimball Hospital,NO,Putnam,CT,245,8.1,0.0,14.5
70005,Waterbury Hospital,NO,Waterbury,CT,995,12.2,17.9,18.5
70006,Stamford Hospital,NO,Stamford,CT,701,11.2,25.8,18.9
70007,Lawrence & Memorial Hospital,NO,New London,CT,720,9.0,15.0,12.5
70010,Bridgeport Hospital,NO,Bridgeport,CT,849,12.2,19.7,16.5
70011,Charlotte Hungerford Hospital,NO,Torrington,CT,383,11.6,16.8,16.8
70015,New Milford Hospital,NO,New Milford,CT,253,9.9,26.1,12.2
70016,St. Mary's Hospital,NO,Waterbury,CT,709,15.2,17.1,21.1
70017,MidState Medical Center,NO,Meriden,CT,547,14.8,17.8,18.3
70018,Greenwich Hospital,NO,Greenwich,CT,857,11.9,18.8,15.1
70019,Milford Hospital,NO,Milford,CT,297,12.4,12.8,13.4
70020,Middlesex Hospital,NO,Middletown,CT,819,11.5,18.5,17.5
70022,Yale-New Haven Hospital,YES,New Haven,CT,2159,16.3,17.2,18.1
70024,William W. Backus Hospital,NO,Norwich,CT,688,13.7,19.9,17.8
70025,Hartford Hospital,NO,Hartford,CT,2619,12.6,15.6,14.2
70027,Manchester Memorial Hospital,NO,Manchester,CT,522,12.2,16.2,19.7
70028,St. Vincent's Medical Center,NO,Bridgeport,CT,1102,15.0,18.2,16.9
70029,Bristol Hospital,NO,Bristol,CT,295,15.6,21.8,22.5
70031,Griffin Hospital,NO,Derby,CT,243,15.3,0.0,19.6
70033,Danbury Hospital,NO,Danbury,CT,1473,12.8,26.1,15.7
70034,Norwalk Hospital,NO,Norwalk,CT,773,11.2,19.7,15.6
70035,Hospital of Central Connecticut,NO,New Britain,CT,856,14.3,15.9,13.6
70036,University of CT Health Ctr,YES,Farmington,CT,741,14.1,17.7,16.0
80001,Christiana Care Health System,NO,Newark,DE,4119,12.7,16.6,14.5
80003,St. Francis Hospital,NO,Wilmington,DE,357,15.2,21.2,18.7
80004,Bayhealth Medical Center,NO,Dover,DE,1282,12.4,18.8,15.0
80007,Beebe Medical Center,NO,Lewes,DE,1241,9.3,13.6,13.4
90001,George Washington Univ Hosp,YES,Washington,DC,658,14.9,16.9,17.8
90004,MedStar-Georgetown Med Ctr,YES,Washington,DC,799,15.3,15.3,18.4
90005,Sibley Memorial Hospital,NO,Washington,DC,1034,10.9,12.1,10.7
90006,Providence Hospital,NO,Washington,DC,429,11.1,14.2,13.5
90011,Washington Hospital Center,NO,Washington,DC,2622,14.5,18.8,16.9
100001,Shands Jacksonville Med Ctr,NO,Jacksonville,FL,499,14.7,26.4,15.4
100002,Bethesda Memorial Hospital,NO,Boynton Beach,FL,1204,11.0,38.6,12.4
100006,Orlando Regional Medical Center,NO,Orlando,FL,2756,16.6,26.8,16.4
100007,Florida Hospital,NO,Orlando,FL,6186,15.1,23.5,15.2
100008,Baptist Hospital of Miami,NO,Miami,FL,1242,15.6,19.5,20.4
100009,University of Miami Hospital,NO,Miami,FL,1003,17.1,20.4,18.1
100012,Lee Memorial Hospital,NO,Fort Myers,FL,2701,10.9,19.1,13.3
100014,Bert Fish Medical Center,NO,New Smyrna Beach,FL,292,14.9,27.2,17.6
100017,Halifax Health Medical Center,NO,Daytona Beach,FL,1376,13.2,25.5,17.3
100018,Naples Community Hospital,NO,Naples,FL,4162,10.6,22.3,12.4
100019,Holmes Regional Medical Center,NO,Melbourne,FL,2005,13.9,27.1,15.1
100022,Jackson Health System,YES,Miami,FL,1009,15.5,17.5,16.4
100023,Citrus Memorial Health System,NO,Inverness,FL,1618,12.6,31.7,17.1
100025,Sacred Heart Hosp of Pensacola,NO,Pensacola,FL,1724,11.1,17.5,16.1
